                                                     Реестр зарегистрированных в АГКГН                                               201.21

                                               географических названий объектов на 28.01.2019
                                                              Липецкая область
                                                               Количество записей - 2025

Регистр.                    Название                        Тип объекта              Административно-   Географические координаты Номенкл.
 номер               географического объекта                                         территориальная                                листа
                                                                                                           Широта        Долгота
                                                                                      (муниципальная)                               карты
                                                                                          привязка           Привязка к другим    масштаба
                                                                                                         географическим объектам 1 : 100 000

   1                            2                                3                            4                    5                  6
0078469    Авдулово                                  село                    Данковский район             53°18'         38°38'    N-37-102

0079645    Агарково                                  деревня                 Долгоруковский район         52°28'         38°16'    N-37-125

0079582    Агеевка                                   деревня                 Становлянский район          52°43'         38°25'    N-37-113

0809110    Агрономовский                             сельсовет               Лебедянский район            53°02'         39°01'    N-37-103

0079036    Аксай                                     село                    Усманский район              52°15'         39°43'    N-37-140

0079651    Аксенкино                                 деревня                 Елецкий район                52°37'         38°21'    N-37-125

0079549    Александровка                             деревня                 Долгоруковский район         52°18'         38°36'    N-37-138

0079570    Александровка                             деревня                 Добринский район             52°08'         40°11'    N-37-141

0079666    Александровка                             деревня                 Краснинский район            52°55'         38°36'    N-37-114

0079519    Александровка                             деревня                 Данковский район             53°29'         38°55'    N-37-090

0078975    Александровка                             село                    Добринский район             52°18'         40°28'    N-37-141

0079583    Александровка                             деревня                 Становлянский район          52°56'         38°12'    N-37-113

0079539    Александровка                             деревня                 Тербунский район             52°14'         38°15'    N-37-137

0079529    Александровка                             деревня                 Грязинский район             52°21'         39°47'    N-37-128

0079528    Александровка                             деревня                 Грязинский район             52°26'         39°59'    N-37-128

0078683    Александровка                             село                    Липецкий район               52°31'         39°12'    N-37-127

0078749    Александровка                             деревня                 Елецкий район                52°39'         38°15'    N-37-125

0078897    Александровка                             деревня                 Краснинский район            52°50'         38°47'    N-37-114

                                                                                                                    Стр. 1 из 82
   1                          2               3                     4            5                 6
0078946   Александровка           деревня         Воловский район       52°06'       38°03'     N-37-137

0078539   Александровка 1-я       деревня         Добринский район      52°08'       40°20'     N-37-141

0078540   Александровка 2-я       деревня         Добринский район      52°08'       40°24'     N-37-141

0079574   Александрово-Жуково     деревня         Липецкий район        52°41'       39°08'     N-37-115

0809100   Александровский         сельсовет       Краснинский район     52°50'       38°45'     N-37-114

0079562   Алексеевка              деревня         Добринский район      52°10'       40°20'     N-37-141

0079522   Алексеевка              деревня         Задонский район       52°23'       39°02'     N-37-127

0079097   Алексеевка              деревня         Задонский район       52°13'       38°47'     N-37-138

0078958   Алексеевка              деревня         Добринский район      51°58'       40°26'     M-37-009

0078682   Алексеевка              село            Липецкий район        52°29'       39°14'     N-37-127

0078470   Алексеевка              деревня         Данковский район      53°16'       38°39'     N-37-102

0669603   Алексеевка              деревня         Становлянский район   52°58'       38°10'     N-37-113

0267377   Алексеевка              деревня         Воловский район       52°06'       37°54'     N-37-136

0079664   Алексеевка              деревня         Елецкий район         52°45'       38°43'     N-37-114

0079631   Алексеевка              деревня         Задонский район       52°23'       38°47'     N-37-126

0079665   Алексеевка              деревня         Становлянский район   52°45'       38°33'     N-37-114

0079542   Алексеевка 2-я          деревня         Воловский район       52°06'       38°01'     N-37-137

0079619   Алексеевские Выселки    деревня         Данковский район      53°06'       38°58'     N-37-102

0079620   Алексеевский            посёлок         Данковский район      53°11'       38°38'     N-37-102

0079637   Аленка                  деревня         Елецкий район         52°32'       38°41'     N-37-126

0078947   Алешки                  деревня         Тербунский район      52°08'       38°07'     N-37-137

