                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0078946    Александровка                           деревня         52°06'          38°03'    N-37-137
0267377    Алексеевка                              деревня         52°06'          37°54'    N-37-136
0079542    Алексеевка 2-я                          деревня         52°06'          38°01'    N-37-137
0079536    Багровка                                деревня         52°09'          37°59'    N-37-136
0079612    Бацевка                                 деревня         51°57'          38°06'    M-37-005
0561372    Богданова                               деревня         52°03'          37°57'    N-37-136
0079535    Большая Вершина                         деревня         52°08'          37°56'    N-37-136
0079405    Большая Ивановка                        село            52°08.9'       38°00.9'   N-37-137
0078951    Большовка                               деревня         52°01'          38°06'    N-37-137
0079616    Большовские Выселки                     деревня         51°56'          37°59'    M-37-004
0078961    Васильевка                              село            51°59'          38°02'    M-37-005
0079442    Верхнее Чесночное                       деревня         51°56'          38°01'    M-37-005
0079537    Вислый Колодезь                         деревня         52°06'          37°48'    N-37-136
0079613    Воздвиженка                             деревня         51°59'          38°06'    M-37-005
0079411    Волово                                  село            52°02'          37°53'    N-37-136
0079534    Воловские Выселки                       деревня         52°01'          37°56'    N-37-136
0079615    Воловский 1-й                           посёлок         51°57'          38°07'    M-37-005
0079614    Воловский 2-й                           посёлок         51°56'          38°05'    M-37-005
0079415    Воловчик                                село            52°02'          37°49'    N-37-136
0079538    Володаровка                             деревня         52°03'          38°06'    N-37-137
0079533    Воронцовка                              деревня         52°04'          37°46'    N-37-136
0079379    Вышнее Большое                          село            51°58'          37°53'    M-37-004
0079413    Гатище                                  село            52°13'          37°56'    N-37-136
0079761    Грачёвка                                деревня         51°57'          38°11'    M-37-005
0079928    Дробышево                               деревня         52°10'          37°54'    N-37-136
                                                                              Стр. 1 из 39
  1                          2           3              4                 5

0079927   Елизаветинка            деревня    52°09'         37°48'     N-37-136
0079926   Емильевка               деревня    52°01'         37°58'     N-37-136
0079929   Ефимовка                деревня    52°04'         38°03'     N-37-137
0079412   Замарайка               село       52°04'         37°48'     N-37-136
0079414   Захаровка               село       52°06'         37°58'     N-37-136
0267363   Зелёный Луг             посёлок    51°58'         37°59'     M-37-004
0079891   Ивановка                деревня    52°02'         38°06'     N-37-137
0079879   Измалкова               деревня    51°59'         38°06'     M-37-005
0267376   Казаково                село       52°04'         37°58'     N-37-136
0079837   Казанка                 деревня    52°08'         37°49'     N-37-136
