                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
                                        количество записей - 224


0290981    Александровка 1-я                       деревня         53°17'        36°06'    N-37-097
0291007    Александровка 2-я                       деревня         53°15'        36°07'    N-37-097
0290982    Алексеевка                              деревня         53°16'        36°05'    N-37-097
0291101    Алексеевский                            посёлок         53°31'        35°59'    N-36-096
0290980    Алексеевский                            посёлок         53°17'        36°06'    N-37-097
0291102    Алешня                                  село            53°33'        35°57'    N-36-096
0291091    Антипова                                деревня         53°35'        36°01'    N-37-085
0079171    Арнаутова                               деревня         53°26'        35°58'    N-36-096
0063630    Арнаутова                               деревня         53°17'        36°09'    N-37-097
0290967    Архангельский                           посёлок         53°32'        36°04'    N-37-085
0290979    Архангельский                           посёлок         53°20'        36°02'    N-37-085
0291092    Архипова                                деревня         53°35'        35°58'    N-36-096
0291083    Асеева                                  деревня         53°28'        35°49'    N-36-096
0063080    Бабенка                                 деревня         53°33'        35°58'    N-36-096
0063123    Багриново                               село            53°28'        36°13'    N-37-085
0063077    Баевский                                посёлок         53°19'        35°58'    N-36-108
0291057    Бекетова                                деревня         53°26'        36°07'    N-37-085
0290983    Березуй                                 посёлок         53°18'        36°09'    N-37-097
0291035    Бессоновский                            посёлок         53°26'        35°54'    N-36-096
0290976    Бетово                                  село            53°28'        35°43'    N-36-096
0063672    Близна                                  деревня         53°36'        35°57'    N-36-096
0063079    Близненские Дворы                       деревня         53°36'        35°57'    N-36-096
0063141    Блошня                                  деревня         53°28'        36°07'    N-37-085

                                                                            Стр. 1 из 70
   1                        2            3            4                 5

0290966   Богданова              деревня     53°33'       36°00'     N-37-085
0303830   Богдановка             посёлок     53°27'       35°47'     N-36-096
0292205   Богословский           посёлок     53°19'       35°55'     N-36-108
0290985   Болотова               деревня     53°17'       36°09'     N-37-097
0063837   Болхов                 город       53°27'       36°01'     N-37-085
0064131   Большая Чернь          село        53°21'       35°51'     N-36-096
0063830   Борилово               село        53°22'       35°58'     N-36-096
0063081   Боровое                село        53°28'       36°51'     N-37-086
0291100   Буденный               посёлок     53°32'       35°54'     N-36-096
0291014   Будолбина              деревня     53°28'       36°02'     N-37-085
0291082   Булгакова              деревня     53°27'       35°53'     N-36-096
0290965   Бушнева                деревня     53°32'       36°09'     N-37-085
