                                                                                                  202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                       Ульяновская область

Регистр.                   Название                 Тип объекта        Географические            Номенкл.
 номер              географического объекта                              координаты                 листа
                                                                                                    карты
                                                                    Широта          Долгота      масштаба
                                                                                                 1 :100 000
   1                           2                          3                     4                     5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0013196    Димитровград                            город обл.      54°13'с.ш.       49°38'в.д.   N-39-064
                                                   знач.

0030724    Новоульяновск                           город обл.      54°09'с.ш.       48°23'в.д.   N-39-061
                                                   знач.

0013172    Ульяновск                               город обл.      54°19'с.ш.       48°24'в.д.   N-39-061
                                                   знач.




                                    Базарносызганский район
                                         количество записей - 30


0013173    Базарный Сызган                         раб.посёлок     53°45'с.ш.       46°46'в.д.   N-38-082
0031071    Вороновка                               село            53°30'с.ш.       46°41'в.д.   N-38-094
0031072    Годяйкино                               село            53°31'с.ш.       46°36'в.д.   N-38-094
0031122    Дальнее поле                            посёлок         53°55'с.ш.       46°48'в.д.   N-38-082
0031073    Девятовка                               деревня         53°47'с.ш.       46°58'в.д.   N-38-082
0031074    Должниково                              село            53°44'с.ш.       46°39'в.д.   N-38-082
0693553    Дубки                                   посёлок         53°46'с.ш.       46°39'в.д.   N-38-082
0031075    Ждамеркино                              село            53°44'с.ш.       46°50'в.д.   N-38-082
0031069    Жмакино                                 деревня         53°31'с.ш.       46°39'в.д.   N-38-094
0031076    Жуковка                                 деревня         53°38'с.ш.       46°43'в.д.   N-38-094
0031077    Знаменский Сюксюм                       село            53°52'с.ш.       46°45'в.д.   N-38-082
0031090    Иевлевка                                деревня         53°38'с.ш.       46°45'в.д.   N-38-094
0031070    Красная Сосна                           село            53°52'с.ш.       46°48'в.д.   N-38-082
0030467    Лапшаур                                 село            53°45'с.ш.       46°49'в.д.   N-38-082
0031080    Николаевка                              деревня         53°44'с.ш.       46°37'в.д.   N-38-082
0751936    Однодворцы                              деревня         53°38'с.ш.       46°45'в.д.   N-38-094
0031081    Отрадинский                             посёлок         53°32'с.ш.       46°36'в.д.   N-38-094
0031243    Папуз-гора                              деревня         53°36'с.ш.       46°37'в.д.   N-38-094
0031082    Папузы                                  село            53°35'с.ш.       46°39'в.д.   N-38-094
0751938    Патрикеево                              село            53°40'с.ш.       46°49'в.д.   N-38-082
0031083    Приют                                   посёлок         53°33'с.ш.       46°36'в.д.   N-38-094
0693555    Раздолье                                посёлок         53°45'с.ш.       46°43'в.д.   N-38-082
0031084    Русская Хомутерь                        деревня         53°47'с.ш.       46°54'в.д.   N-38-082

                                                                                Стр. 1 из 25
  1                           2                     3                    4                   5

0688741   Сосновый Бор                      посёлок         53°31'с.ш.       46°35'в.д.   N-38-094
0031089   Чаадаевка                         село            53°34'с.ш.       46°30'в.д.   N-38-094
0031085   Черный Ключ                       посёлок         53°41'с.ш.       46°40'в.д.   N-38-082
0128977   Чириково                          деревня         53°52'с.ш.       46°46'в.д.   N-38-082
0751937   Широкий                           посёлок         53°35'с.ш.       46°37'в.д.   N-38-094
0031086   Юрловка                           село            53°39'с.ш.       46°47'в.д.   N-38-094
0031087   Ясачный Сызган                    село            53°43'с.ш.       46°50'в.д.   N-38-082




                                  Барышский район
                                  количество записей - 73


0031065   Акшуат                            село            53°41'с.ш.       47°27'в.д.   N-38-083
0030935   Алинкино                          село            53°43'с.ш.       47°00'в.д.   N-38-083
0030831   Ананьино                          село            53°23'с.ш.       47°17'в.д.   N-38-095
0013206   Барыш                             город           53°39'с.ш.       47°06'в.д.   N-38-095
0031064   Барышская Дурасовка               село            53°51'с.ш.       47°10'в.д.   N-38-083
0031060   Беликово                          село            53°48'с.ш.       47°12'в.д.   N-38-083
0031059   Богдановка                        деревня         53°35'с.ш.       47°10'в.д.   N-38-095
0031058   Большая Мура                      деревня         53°48'с.ш.       47°12'в.д.   N-38-083
0030499   Водорацк                          село            53°38'с.ш.       47°18'в.д.   N-38-095
0030500   Водорацкие Выселки                деревня         53°39'с.ш.       47°21'в.д.   N-38-095
0030521   Воецкое                           село            53°31'с.ш.       46°56'в.д.   N-38-094
0030530   Воскресенка                       деревня         53°30'с.ш.       47°07'в.д.   N-38-095
0030509   Головцево                         село            53°28'с.ш.       46°52'в.д.   N-38-094
0030510   Гремячевка                        деревня         53°26'с.ш.       46°43'в.д.   N-38-094
0030538   Екатериновка                      деревня         53°37'с.ш.       47°15'в.д.   N-38-095
0030536   Жадовка                           раб.посёлок     53°34'с.ш.       46°58'в.д.   N-38-094
0030463   Живайкино                         село            53°29'с.ш.       47°08'в.д.   N-38-095
